,Scientific name,Family,Common name,Growth rate (r),Mobility (m),Mobility classification,Movement source,Movement information notes and references
94,Trisopterus esmarkii,Gadidae,Norway pout,0.616,0.9,migratory ,FAO,"FAO: “Migrates for spawning between the Shetland Islands and Norway and out of the Skagerrak, the mayor spawning grounds being located between NW Scotland, Norway, Faeroe Islands and Iceland.”"
95,Sebastes polyspinis,Sebastidae,Northern rockfish,0.05,0.3,habitat_benthic,FB,
96,Genypterus blacodes,Ophidiidae,Pink cusk-eel,0.131,0.3,habitat_benthic,FB,
97,Octopus vulgaris,Octopodidae,common octopus,0.81,0.3,habitat_reef,SLB,
98,Paralichthys olivaceus,Paralichthyidae,Bastard halibut,0.874,0.3,habitat_benthic,FAO,
99,Hoplostethus atlanticus,Trachichthyidae,Orange roughy,0.161,0.1,sedentary,FB,"FB: “Based on parasite and trace-element analyses, orange roughy  is a sedentary species with little movement between fish-management zones (Ref. 27089)”"
100,Thunnus orientalis,Scombridae,Pacific bluefin tuna,0.192,0.9,hms,FB,
101,Engraulis ringens,Engraulidae,Anchoveta,0.649,0.9,pelagic,FB,
102,Pandalus borealis,Pandalidae,northern shrimp,0.58,0.9,deep,REF,Secondary ref: (9)
103,Macruronus magellanicus,Merlucciidae,Patagonian grenadier,0.102,0.9,migratory,REF,Secondary ref: (10)
104,Gadus macrocephalus,Gadidae,Pacific cod,0.255,0.3,habitat_deep,FAO,"FAO: “Pacific cod does not undertake migrations as extensive as the Atlantic species but moves only for short distances, such as to and from the shore, or from one bank to the other within a limited region.”"
105,Sebastes alutus,Sebastidae,Pacific ocean perch,0.048,0.3,habitat_benthic,FB,
106,Panopea generosa,Hiatellidae,Pacific geoduck,0.37,0.1,sedentary,SLB,
107,Merluccius productus,Merlucciidae,North Pacific hake,0.12,0.9,migratory,FB,FB: “Adults live in large schools in waters overlying the continental shelf and slope except during the spawning season when they are found several hundred miles seaward (Ref. 1371).”
108,Pleuronectes platessa,Pleuronectidae,European plaice,0.26,0.9,migratory,FB,
109,Pollachius virens,Gadidae,Saithe,0.293,0.9,migratory,FAO,"FAO: “Migrations are known to occur, especially for spawning, to coastal waters in spring and to deeper waters in winter.”"
110,Lamna nasus,Lamnidae,Porbeagle,0.044,0.9,migratory,FB,
111,Trisopterus minutus,Gadidae,Poor cod,0.709,0.3,habitat_benthic,FB,
112,Eopsetta jordani,Pleuronectidae,Petrale sole,0.113,0.3,habitat_benthic,FB,
113,Dissostichus eleginoides,Nototheniidae,Patagonian toothfish,0.107,0.9,deep,FB,
114,Pagrus major,Sparidae,Red seabream,0.389,0.3,habitat_reef,FB,
115,Pagellus bogaraveo,Sparidae,Blackspot seabream,0.318,0.3,habitat_reef,FB,
116,Chaceon quinquedens,Geryonidae,red deepsea crab,0.42,0.3,habitat_benthic,SLB,
117,Aristeus antennatus,Aristeidae,blue and red shrimp,0.48,0.3,habitat_deep,SLB,
118,Glyptocephalus zachirus,Pleuronectidae,Rex sole,0.187,0.3,habitat_benthic,FB,
119,Sebastes aleutianus,Sebastidae,Rougheye rockfish,0.038,0.3,habitat_benthic,FB,
120,Epinephelus morio,Serranidae,Red grouper,0.215,0.3,habitat_benthic,FB,
121,Mullus barbatus,Mullidae,Red mullet,0.68,0.3,habitat_benthic,FB,
122,Cancer irroratus,Cancridae,rock crab,0.46,0.1,sedentary,SLB,
123,Pagellus bellottii,Sparidae,Red pandora,0.678,0.3,habitat_reef,FB,
124,Jasus edwardsii,Palinuridae,red rock lobster,0.52,0.3,habitat_benthic,REF,"Secondary ref: (11) “Of 32 large spiny lobsters tracked with acoustic tags for 14-355 days in north-east New Zealand, 25 moved detectable distances (>0.1 km) from their tag site while being monitored. Individual lobsters moved up to 12.3 km over a 12-month period but the furthest distance from a tagging site was only 3.1 km.”"
125,Sardinella aurita,Clupeidae,Round sardinella,0.674,0.3,habitat_coastal,IUCN,IUCN: “This pelagic species schools in subtropical coastal waters from inshore to the shelf edge.”
126,Lutjanus campechanus,Lutjanidae,Northern red snapper,0.354,0.3,habitat_reef,FB,
127,Lepidopsetta bilineata,Pleuronectidae,Rock sole,0.174,0.3,habitat_benthic,FB,
128,Anoplopoma fimbria,Anoplopomatidae,Sablefish,0.035,0.9,deep,FB,"FB: “Generally localized, but some juveniles have been found to migrate over 2,000 miles in 6 or 7 years (Ref. 28499).”"
129,Istiophorus albicans,Istiophoridae,Atlantic sailfish,0.578,0.9,hms,FB,
130,Sardinops sagax,Clupeidae,South American pilchard,0.349,0.9,migratory,FB,"FB: “In the California region, pilchards make northward migrations early in summer and travel back south again in autumn. With each year of life, the migration becomes farther (Ref. 6885).”"
131,Sardina pilchardus,Clupeidae,European pilchard,0.528,0.9,pelagic,FAO,"FAO: “Breeds at 20 to 25 m, near the shore or as much as 100 km out to sea”"
132,Cololabis saira,Scomberesocidae,Pacific saury,0.461,0.9,pelagic,FAO,"FAO: “migrates seasonally to southern Japan and adjacent waters in winter, and Hokkaido and the Kuril Islands in summer.”"
133,Sebastes jordani,Sebastidae,Shortbelly rockfish,0.096,0.3,habitat_benthic,FB,
134,Thunnus maccoyii,Scombridae,Southern bluefin tuna,0.102,0.9,hms,FB,
135,Micromesistius australis,Gadidae,Southern blue whiting,0.139,0.9,migratory,FAO,"FAO: “In warm summers, the population of the Falkland/Malvinas current (on the Patagonian shelves of Argentina and southern Chile) migrates southward to S. Georgia, S. Shetland Islands, Elephant Island and the northern part of the Antarctic Peninsula.”"
136,Placopecten magellanicus,Pectinidae,deep sea scallop,0.56,0.1,sedentary,SLB,
137,Stenotomus chrysops,Sparidae,Scup,0.348,0.3,habitat_reef,FB,
138,Squalus acanthias,Squalidae,Picked dogfish,0.044,0.9,migratory,FB,"FB: “Transoceanic migrations recorded, but rare (Ref. 88864).”"
139,Paralichthys dentatus,Paralichthyidae,Summer flounder,1.336,0.3,habitat_benthic,FB,
140,Isurus oxyrinchus,Lamnidae,Shortfin mako,0.09,0.9,migratory,FB,
141,Merluccius bilinearis,Merlucciidae,Silver hake,0.154,0.9,migratory,FB,FB: “Exhibits seasonal onshore-offshore migration (Ref. 9988).”
142,Seriolella punctata,Centrolophidae,Silver warehou,0.261,0.9,migratory,FB,"FB: “During spring-summer in New Zealand, adult and juvenile fish migrate to feed along the continental slope off the east and southeast coast of the South Island (Ref. 9072).”"
143,Katsuwonus pelamis,Scombridae,Skipjack tuna,0.504,0.9,pelagic,IUCN,
144,Pseudocyttus maculatus,Oreosomatidae,Smooth oreo dory,0.11,0.3,habitat_deep,FB,
145,Squilla mantis,Squillidae,spottail mantis shrimp,0.56,0.1,sedentary,SLB,
146,Mullus surmuletus,Mullidae,Surmullet,0.656,0.3,habitat_benthic,FB,
147,Chionoecetes opilio,Oregoniidae,snow crab,0.58,0.3,habitat_benthic,SLB,
148,Sebastes diploproa,Sebastidae,Splitnose rockfish,0.086,0.3,habitat_benthic,FB,
149,Solea solea,Soleidae,Common sole,0.314,0.3,habitat_benthic,FB,
150,Merluccius australis,Merlucciidae,Southern hake,0.056,0.9,migratory,FB,FB: “Adults probably migrate southward during the southern summer for feeding and return to the north in winter for spawning (Ref. 1371)”
151,Scomberomorus maculatus,Scombridae,Atlantic Spanish mackerel,0.553,0.9,hms,FB,FB: “Migrates in large schools over great distances along the shore.”
152,Scomberomorus niphonius,Scombridae,Japanese Spanish mackerel,0.526,0.9,hms,FB,FB: “Undergoes a spawning migration in spring (March to June) and a feeding migration in fall (September to November) in the Inland Sea of Japan.”
153,Merluccius gayi,Merlucciidae,South Pacific hake,0.418,0.9,migratory,FB,FB: “Moves to southern coastal areas in summer and migrates to northern deeper waters (200-500 m depth) in winter and spring (Ref. 27363).”
154,Sprattus sprattus,Clupeidae,European sprat,0.476,0.9,migratory,FAO,"FAO: “Some spawing almost throughout the year, near to the coast or up to 100 km out to sea”"
155,Squalus suckleyi,Squalidae,Pacific spiny dogfish,0.024,0.9,migratory,FB,"FB: “It appears to prefer water temperatures between 7 and 15?C, and often makes longitudinal and depth migrations to follow this temperature preference (Ref. 48844).”"
156,Palinurus gilchristi,Palinuridae,Southern spiny lobster,0.22,0.3,habitat_benthic,REF,"Secondary ref: (12) “Overall, 547 (25.8%) tagged lobsters of both sexes moved >20 km within or between sites.”"
157,Sebastolobus alascanus,Sebastidae,Shortspine thornyhead,0.054,0.3,habitat_benthic,FB,bathydemersal
158,Platichthys stellatus,Pleuronectidae,Starry flounder,0.256,0.3,habitat_benthic,IUCN,
159,Morone saxatilis,Moronidae,Striped bass,0.255,0.3,habitat_coastal,FB,
160,Spisula solidissima,Mactridae,Atlantic surfclam,0.47,0.1,sedentary,SLB,
161,Xiphias gladius,Xiphiidae,Swordfish,0.316,0.9,hms,FB,
162,Raja clavata,Rajidae,Thornback ray,0.066,0.3,habitat_benthic,FB,
163,Galeoides decadactylus,Polynemidae,Lesser African threadfin,0.51,0.3,habitat_coastal,FB,
164,Lopholatilus chamaeleonticeps,Malacanthidae,Great northern tilefish,0.145,0.1,sedentary,IUCN,"IUCN: “This bottom dwelling species occurs mostly on silt-clay substrate and is more common where there is suitable substrate for burrow construction, such as scour depressions around boulders or rubble piles; also often near submarine canyons (Valentine et al. 1980, Able et al. 1982, Low and Ulrich 1983, Grossman et al. 1985).”"
165,Pseudocaranx dentex,Carangidae,White trevally,0.382,0.3,habitat_coastal,FB,
166,Rhomboplites aurorubens,Lutjanidae,Vermilion snapper,0.393,0.3,habitat_reef,FB,or habitat_deep
167,Seriolella brama,Centrolophidae,Common warehou,0.25,0.3,habitat_coastal,FB,
168,Cynoscion regalis,Sciaenidae,Squeteague,0.331,0.3,habitat_coastal,FB,
169,Urophycis tenuis,Phycidae,White hake,0.178,0.9,migratory,REF,"Secondary ref: (13) “Mature U. tenuis migrate inshore in the northern Gulf of Maine in the summer, disperse in the fall, and move into the deepest area of the Gulf in winter.”"
170,Merlangius merlangus,Gadidae,Whiting,0.396,0.9,migratory,FB,
171,Scophthalmus aquosus,Scophthalmidae,Windowpane flounder,0.592,0.3,habitat_benthic,FB,
172,Pseudopleuronectes americanus,Pleuronectidae,Winter flounder,0.307,0.3,habitat_benthic,FB,
173,Glyptocephalus cynoglossus,Pleuronectidae,Witch flounder,0.15,0.3,habitat_benthic,FB,
174,Sebastes entomelas,Sebastidae,Widow rockfish,0.086,0.3,habitat_reef,FB,
175,Buccinum undatum,Buccinidae,waved whelk,0.57,0.1,sedentary,SLB,
176,Limanda ferruginea,Pleuronectidae,Yellowtail flounder,0.327,0.3,habitat_benthic,FB,
177,Sebastes ruberrimus,Sebastidae,Yelloweye rockfish,0.036,0.3,habitat_reef,FB,
178,Thunnus albacares,Scombridae,Yellowfin tuna,0.372,0.9,hms,FB,
179,Zearaja chilensis,Rajidae,Yellownose skate,0.037,0.3,habitat_benthic,FB,
180,Limanda aspera,Pleuronectidae,Yellowfin sole,0.196,0.3,habitat_benthic,FB,
181,Sebastes flavidus,Sebastidae,Yellowtail rockfish,0.059,0.3,habitat_reef,FB,
182,Polydactylus quadrifilis,Polynemidae,Giant African threadfin,0.564,0.3,habitat_coastal,FB,
183,Pseudopercis semifasciata,Pinguipedidae,Argentinian sandperch,0.637,0.3,habitat_benthic,FB,
184,Cottoperca gobio,Bovichtidae,Channel bull blenny,0.63,0.1,territorial,REF,Secondary ref: (14)
185,Cilus gilberti,Sciaenidae,Corvina drum,0.625,0.3,habitat_benthic,IUCN,
186,Cynoscion guatucupa,Sciaenidae,Stripped weakfish,0.547,0.3,habitat_coastal,FB,
187,Limanda limanda,Pleuronectidae,Common dab,0.461,0.3,habitat_benthic,FB,
188,Liza klunzingeri,Mugilidae,Klunzinger's mullet,0.49,0.3,habitat_coastal,IUCN,"IUCN: “Liza klunzingeri lives in shallow coastal waters. In Iraq, Liza klunzingeri is known to ascend rivers for feeding (M. Almukhtar pers. comm. 2014).”"
189,Dipturus innominatus,Rajidae,New Zealand smooth skate,0.077,0.3,habitat_benthic,FB,
190,Alectis alexandrinus,Carangidae,Alexandria pompano,0.28,0.3,habitat_coastal,FB,
191,Coelorinchus chilensis,Macrouridae,Chilean grenadier,0.207,0.3,habitat_deep,FB,FB: “Marine; bathydemersal; non-migratory”
192,Larimichthys polyactis,Sciaenidae,Yellow croaker,0.547,0.3,habitat_coastal,FB,
193,Haemulon plumierii,Haemulidae,White grunt,0.579,0.3,habitat_reef,FB,
194,Salvelinus alpinus,Salmonidae,Arctic char,0.2,0.9,migratory,FB,
195,Scolopsis taeniata,Nemipteridae,Black-streaked monocle bream,1.108,0.3,habitat_reef,FB,
196,Ilisha africana,Pristigasteridae,West African ilisha,1.11,0.3,habitat_coastal,IUCN,"IUCN: “This species occurs in inshore waters, along sandy beaches, in estuaries to nearly freshwater”"
197,Percophis brasiliensis,Percophidae,Brazilian flathead,0.258,0.3,habitat_coastal,REF,Secondary ref: (15)
198,Platycephalus indicus,Platycephalidae,Bartail flathead,0.479,0.3,habitat_benthic,FB,
199,Salmo trutta,Salmonidae,Sea trout,0.746,0.9,migratory,FB,
200,Sarda chiliensis,Scombridae,Eastern Pacific bonito,0.474,0.9,pelagic,IUCN,
201,Pennahia argentata,Sciaenidae,Silver croaker,0.805,0.3,habitat_coastal,FB,
202,Bothus pantherinus,Bothidae,Leopard flounder,0.786,0.3,habitat_benthic,FB,
203,Mugil curema,Mugilidae,White mullet,0.52,0.3,habitat_coastal,FB,
204,Seriola rivoliana,Carangidae,Longfin yellowtail,0.506,0.9,pelagic,REF,Secondary ref: (16)
205,Trachurus lathami,Carangidae,Rough scad,0.704,0.9,pelagic,FB,
206,Coryphaena hippurus,Coryphaenidae,Common dolphinfish,0.796,0.9,hms,FB,
207,Lutjanus purpureus,Lutjanidae,Southern red snapper,0.308,0.3,habitat_reef,FB,
208,Diapterus auratus,Gerreidae,Irish mojarra,1.367,0.3,habitat_coastal,FB,
209,Larimus breviceps,Sciaenidae,Shorthead drum,0.717,0.3,habitat_coastal,FB,
210,Mugil liza,Mugilidae,Lebranche mullet,0.478,0.9,migratory,FB,FB: “Appear to undergo trophic migrations along the coasts (Ref. 35237).”
211,Aphia minuta,Gobiidae,Transparent goby,1.701,0.3,habitat_coastal,REF,Secondary ref: (17)
212,Belone belone,Belonidae,Garfish,0.479,0.9,pelagic,FB,FB: “Lives close to the surface and has a migratory pattern similar to the mackerel (Ref. 35388).”
213,Epinephelus striatus,Serranidae,Nassau grouper,0.263,0.3,habitat_reef,FB,
214,Molva molva,Lotidae,Ling,0.112,0.3,habitat_benthic,FB,or habitat_deep
215,Pollachius pollachius,Gadidae,Pollack,0.437,0.9,habitat_coastal,FB,"FB: “Found in inshore waters but also down to 200 m depth, in areas with hard bottoms.”"
216,Acanthocybium solandri,Scombridae,Wahoo,0.523,0.9,pelagic,FB,
217,Auxis thazard,Scombridae,Frigate tuna,0.704,0.9,pelagic,FB,
218,Capros aper,Caproidae,Boarfish,0.435,0.3,habitat_reef,FB,
219,Caranx hippos,Carangidae,Crevalle jack,0.871,0.3,habitat_reef,FB,"FB: “Generally in neritic waters over the continental shelf (Ref. 5217), from the coastline, where it is common on shallow flats, to offshore waters (Ref. 57392).”"
220,Cepola macrophthalma,Cepolidae,Red bandfish,0.663,0.1,sedentary,FB,FB: “Found on sand and mud bottom (Ref. 26999). Lives in vertical burrows but may be found swimming in midwater.”
221,Chanos chanos,Chanidae,Milkfish,0.566,0.3,habitat_reef,FB,FB: “They occur in small to large schools near the coasts or around islands where reefs are well developed.”
222,Ctenolabrus rupestris,Labridae,Goldsinny-wrasse,0.492,0.3,habitat_reef,FB,
223,Dicentrarchus labrax,Moronidae,European seabass,0.531,0.3,habitat_coastal,REF,Secondary ref: (18)
224,Euthynnus affinis,Scombridae,Kawakawa,0.631,0.9,pelagic,IUCN,
225,Euthynnus alletteratus,Scombridae,Little tunny,0.33,0.9,hms,IUCN,
226,Eutrigla gurnardus,Triglidae,Grey gurnard,0.182,0.3,habitat_benthic,FB,
227,Helicolenus dactylopterus,Sebastidae,Blackbelly rosefish,0.149,0.3,habitat_benthic,IUCN,
228,Istiophorus platypterus,Istiophoridae,Indo-Pacific sailfish,0.466,0.9,hms,FB,
229,Gymnosarda unicolor,Scombridae,Dogtooth tuna,0.597,0.9,pelagic,FAO,
230,Lutjanus guttatus,Lutjanidae,Spotted rose snapper,0.37,0.3,habitat_reef,FB,
231,Lutjanus kasmira,Lutjanidae,Common bluestripe snapper,0.454,0.3,habitat_reef,FB,
232,Lutjanus malabaricus,Lutjanidae,Malabar blood snapper,0.3,0.3,habitat_reef,FB,
233,Lutjanus peru,Lutjanidae,Pacific red snapper,0.269,0.3,habitat_reef,FB,
234,Lutjanus quinquelineatus,Lutjanidae,Five-lined snapper,0.327,0.3,habitat_reef,FB,
235,Lutjanus synagris,Lutjanidae,Lane snapper,0.661,0.3,habitat_reef,FB,
236,Lutjanus vivanus,Lutjanidae,Silk snapper,0.252,0.3,habitat_reef,FB,
